ImageId,Label
0,3
1,0
2,6
3,6
4,7
5,7
6,1
7,9
8,3
9,4
10,8
11,8
12,1
13,7
14,8
15,9
16,4
17,1
18,5
19,7
20,7
21,6
22,6
23,0
24,2
25,0
26,6
27,7
28,0
29,0
30,4
31,9
32,2
33,4
34,2
35,4
36,6
37,0
38,7
39,5
40,7
41,9
42,1
43,4
44,5
45,5
46,7
47,2
48,7
49,4
50,7
51,1
52,4
53,5
54,5
55,7
56,1
57,1
58,6
59,4
60,7
61,1
62,2
63,6
64,1
65,9
66,1
67,3
68,9
69,8
70,4
71,1
72,8
73,8
74,4
75,4
76,1
77,6
78,1
79,0
80,3
81,3
82,3
83,7
84,3
85,7
86,5
87,2
88,2
89,2
90,2
91,8
92,7
93,4
94,6
95,9
96,7
97,4
98,7
99,2
100,7
101,2
102,7
103,7
104,7
105,9
106,5
107,7
108,3
109,9
110,6
111,3
112,4
113,6
114,6
115,2
116,1
117,6
118,0
119,7
120,0
121,1
122,5
123,4
124,5
125,2
126,1
127,2
128,7
129,0
130,7
131,4
132,1
133,5
134,9
135,6
136,8
137,3
138,6
139,4
140,1
141,8
142,3
143,0
144,8
145,1
146,8
147,6
148,5
149,0
150,8
151,6
152,6
153,0
154,8
155,1
156,7
157,8
158,2
159,5
160,0
161,8
162,1
163,0
164,3
165,1
166,2
167,6
168,2
169,2
170,8
171,9
172,9
173,3
174,2
175,5
176,7
177,4
178,1
179,6
180,1
181,2
182,8
183,9
184,4
185,8
186,7
187,5
188,1
189,9
190,4
191,2
192,7
193,6
194,8
195,2
196,6
197,5
198,9
199,1
200,7
201,1
202,3
203,4
204,4
205,7
206,6
207,9
208,0
209,0
210,0
211,3
212,1
213,8
214,2
215,9
216,0
217,9
218,0
219,0
220,3
221,7
222,4
223,9
224,2
225,1
226,2
227,0
228,3
229,0
230,5
231,1
232,9
233,2
234,0
235,2
236,6
237,9
238,8
239,2
240,4
241,9
242,9
243,8
244,5
245,2
246,2
247,3
248,6
249,5
250,5
251,4
252,4
253,3
254,7
255,2
256,8
257,3
258,4
259,6
260,8
261,4
262,1
263,4
264,8
265,8
266,1
267,4
268,7
269,7
270,6
271,2
272,4
273,8
274,4
275,9
276,3
277,1
278,6
279,1
280,4
281,0
282,9
283,9
284,5
285,2
286,6
287,3
288,0
289,9
290,7
291,1
292,4
293,7
294,2
295,7
296,4
297,0
298,8
299,0
300,8
301,3
302,2
303,3
304,8
305,9
306,4
307,3
308,4
309,1
310,1
311,3
312,0
313,7
314,3
315,2
316,8
317,2
318,4
319,6
320,9
321,4
322,1
323,4
324,1
325,7
326,8
327,2
328,1
329,7
330,0
331,7
332,5
333,6
334,6
335,9
336,9
337,1
338,5
339,8
340,6
341,5
342,0
343,1
344,2
345,3
346,4
347,7
348,3
349,9
350,1
351,1
352,0
353,1
354,7
355,5
356,2
357,6
358,5
359,2
360,2
361,0
362,3
363,8
364,8
365,5
366,5
367,8
368,2
369,4
370,2
371,2
372,1
373,7
374,4
375,3
376,8
377,0
378,1
379,2
380,7
381,3
382,9
383,2
384,6
385,6
386,5
387,9
388,4
389,4
390,3
391,8
392,3
393,5
394,0
395,6
396,8
397,7
398,8
399,4
400,9
401,4
402,0
403,5
404,7
405,5
406,8
407,6
408,9
409,7
410,5
411,3
412,8
413,7
414,9
415,3
416,5
417,8
418,3
419,5
420,4
421,4
422,1
423,1
424,7
425,1
426,6
427,0
428,7
429,6
430,8
431,7
432,9
433,7
434,9
435,8
436,3
437,6
438,0
439,2
440,2
441,9
442,4
443,2
444,8
445,3
446,8
447,4
448,3
449,7
450,8
451,6
452,7
453,6
454,8
455,2
456,6
457,1
458,9
459,2
460,1
461,8
462,6
463,1
464,0
465,3
466,1
467,2
468,1
469,2
470,6
471,9
472,3
473,7
474,9
475,3
476,4
477,0
478,0
479,5
480,1
481,3
482,1
483,2
484,8
485,8
486,1
487,8
488,0
489,4
490,3
491,4
492,4
493,4
494,7
495,1
496,7
497,2
498,0
499,6
500,3
501,5
502,4
503,7
504,9
505,2
506,2
507,4
508,7
509,7
510,6
511,8
512,7
513,4
514,1
515,4
516,4
517,7
518,2
519,3
520,2
521,7
522,1
523,2
524,8
525,9
526,2
527,3
528,8
529,9
530,9
531,3
532,4
533,8
534,4
535,7
536,1
537,3
538,0
539,4
540,5
541,1
542,4
543,9
544,2
545,1
546,6
547,6
548,2
549,9
550,5
551,7
552,4
553,7
554,6
555,8
556,7
557,7
558,8
559,4
560,0
561,2
562,3
563,0
564,6
565,1
566,0
567,8
568,3
569,3
570,4
571,6
572,1
573,0
574,0
575,7
576,6
577,3
578,3
579,8
580,4
581,8
582,8
583,8
584,4
585,7
586,2
587,4
588,7
589,3
590,5
591,4
592,4
593,2
594,7
595,5
596,8
597,6
598,5
599,7
600,0
601,8
602,1
603,6
604,2
605,0
606,1
607,9
608,9
609,8
610,2
611,9
612,5
613,4
614,0
615,2
616,0
617,1
618,8
619,2
620,1
621,9
622,9
623,7
624,3
625,0
626,4
627,5
628,8
629,4
630,2
631,7
632,1
633,1
634,0
635,4
636,7
637,6
638,4
639,5
640,7
641,3
642,2
643,1
644,2
645,0
646,6
647,3
648,8
649,8
650,3
651,7
652,5
653,1
654,5
655,2
656,2
657,4
658,8
659,9
660,3
661,6
662,3
663,8
664,8
665,4
666,8
667,1
668,7
669,4
670,0
671,0
672,7
673,6
674,2
675,4
676,4
677,7
678,5
679,3
680,9
681,1
682,3
683,4
684,7
685,2
686,5
687,1
688,2
689,5
690,0
691,9
692,5
693,6
694,4
695,9
696,8
697,9
698,8
699,3
700,4
701,1
702,0
703,3
704,4
705,9
706,3
707,4
708,9
709,5
710,8
711,1
712,0
713,1
714,8
715,1
716,0
717,2
718,1
719,1
720,6
721,5
722,2
723,4
724,9
725,7
726,6
727,2
728,1
729,9
730,9
731,3
732,8
733,9
734,3
735,9
736,5
737,9
738,8
739,3
740,0
741,0
742,3
743,0
744,4
745,2
746,1
747,4
748,2
749,1
750,7
751,1
752,4
753,2
754,0
755,8
756,2
757,7
758,8
759,4
760,4
761,0
762,7
763,2
764,2
765,2
766,9
767,2
768,4
769,8
770,0
771,8
772,5
773,0
774,9
775,7
776,1
777,1
778,4
779,9
780,9
781,7
782,2
783,3
784,3
785,3
786,7
787,4
788,6
789,1
790,3
791,0
792,8
793,7
794,4
795,7
796,8
797,2
798,2
799,0
800,7
801,4
802,6
803,5
804,9
805,3
806,0
807,4
808,8
809,2
810,7
811,4
812,3
813,1
814,8
815,4
816,9
817,1
818,7
819,8
820,8
821,2
822,0
823,8
824,6
825,5
826,2
827,7
828,0
829,3
830,8
831,2
832,8
833,0
834,4
835,2
836,6
837,5
838,5
839,7
840,5
841,4
842,3
843,1
844,5
845,8
846,4
847,8
848,3
849,7
850,4
851,5
852,1
853,7
854,6
855,9
856,2
857,1
858,2
859,0
860,6
861,0
862,0
863,4
864,0
865,1
866,4
867,5
868,4
869,3
870,3
871,0
872,9
873,8
874,7
875,0
876,4
877,7
878,1
879,2
880,1
881,6
882,5
883,8
884,0
885,4
886,0
887,2
888,4
889,4
890,9
891,7
892,1
893,6
894,2
895,8
896,5
897,4
898,8
899,7
900,9
901,5
902,7
903,5
904,1
905,9
906,8
907,5
908,0
909,8
910,1
911,3
912,9
913,9
914,6
915,1
916,9
917,4
918,4
919,0
920,4
921,6
922,8
923,1
924,8
925,2
926,6
927,3
928,1
929,0
930,6
931,0
932,3
933,0
934,4
935,6
936,2
937,3
938,7
939,3
940,2
941,5
942,7
943,3
944,1
945,5
946,0
947,2
948,4
949,6
950,0
951,5
952,9
953,6
954,1
955,1
956,7
957,9
958,0
959,8
960,7
961,7
962,8
963,2
964,0
965,5
966,8
967,4
968,3
969,9
970,3
971,3
972,0
973,9
974,9
975,8
976,4
977,8
978,3
979,4
980,7
981,4
982,9
983,5
984,8
985,1
986,0
987,0
988,4
989,2
990,9
991,9
992,5
993,4
994,7
995,4
996,2
997,4
998,6
999,1
1000,6
1001,4
1002,2
1003,2
1004,4
1005,6
1006,6
1007,6
1008,7
1009,7
1010,1
1011,4
1012,0
1013,9
1014,8
1015,8
1016,8
1017,9
1018,2
1019,0
1020,2
1021,2
1022,7
1023,7
1024,0
1025,1
1026,4
1027,8
1028,7
1029,3
1030,1
1031,1
1032,7
1033,5
1034,1
1035,4
1036,3
1037,2
1038,2
1039,8
1040,2
1041,3
1042,9
1043,4
1044,9
1045,0
1046,1
1047,6
1048,2
1049,7
1050,6
1051,7
1052,4
1053,1
1054,4
1055,1
1056,2
1057,7
1058,8
1059,9
1060,9
1061,3
1062,1
1063,4
1064,5
1065,4
1066,4
1067,6
1068,0
1069,6
1070,3
1071,4
1072,2
1073,8
1074,6
1075,6
1076,8
1077,3
1078,4
1079,8
1080,6
1081,1
1082,3
1083,8
1084,9
1085,1
1086,5
1087,8
1088,2
1089,3
1090,4
1091,7
1092,1
1093,8
1094,6
1095,2
1096,8
1097,4
1098,5
1099,5
1100,5
1101,7
1102,8
1103,6
1104,5
1105,6
1106,0
1107,4
1108,9
1109,4
1110,0
1111,6
1112,9
1113,4
1114,0
1115,1
1116,1
1117,0
1118,2
1119,8
1120,4
1121,2
1122,9
1123,3
1124,1
1125,4
1126,4
1127,3
1128,8
1129,9
1130,0
1131,5
1132,1
1133,8
1134,4
1135,1
1136,4
1137,1
1138,2
1139,4
1140,0
1141,2
1142,7
1143,8
1144,7
1145,2
1146,2
1147,8
1148,2
1149,4
1150,2
1151,8
1152,1
1153,2
1154,5
1155,8
1156,6
1157,8
1158,2
1159,1
1160,4
1161,5
1162,0
1163,4
1164,8
1165,6
1166,0
1167,4
1168,7
1169,6
1170,3
1171,4
1172,0
1173,1
1174,6
1175,6
1176,7
1177,0
1178,9
1179,4
1180,3
1181,4
1182,6
1183,4
1184,4
1185,2
1186,8
1187,6
1188,6
1189,7
1190,7
1191,0
1192,3
1193,7
1194,0
1195,1
1196,9
1197,8
1198,3
1199,4
1200,5
1201,7
1202,0
1203,0
1204,3
1205,5
1206,6
1207,2
1208,9
1209,4
1210,2
1211,1
1212,1
1213,1
1214,6
1215,0
1216,9
1217,7
1218,0
1219,0
1220,6
1221,4
1222,4
1223,6
1224,4
1225,7
1226,1
1227,4
1228,1
1229,6
1230,5
1231,3
1232,3
1233,8
1234,4
1235,3
1236,3
1237,4
1238,3
1239,0
1240,7
1241,2
1242,8
1243,7
1244,8
1245,9
1246,4
1247,7
1248,7
1249,1
1250,9
1251,7
1252,8
1253,4
1254,9
1255,4
1256,4
1257,7
1258,4
1259,4
1260,4
1261,1
1262,9
1263,6
1264,2
1265,0
1266,9
1267,4
1268,7
1269,6
1270,5
1271,7
1272,7
1273,3
1274,6
1275,5
1276,8
1277,4
1278,8
1279,7
1280,3
1281,3
1282,8
1283,4
1284,4
1285,3
1286,1
1287,9
1288,6
1289,4
1290,5
1291,8
1292,2
1293,9
1294,4
1295,1
1296,8
1297,6
1298,7
1299,6
1300,3
1301,4
1302,8
1303,1
1304,3
1305,4
1306,1
1307,8
1308,0
1309,8
1310,0
1311,5
1312,4
1313,6
1314,5
1315,0
1316,1
1317,5
1318,7
1319,7
1320,8
1321,8
1322,9
1323,8
1324,5
1325,7
1326,4
1327,7
1328,4
1329,7
1330,7
1331,5
1332,7
1333,8
1334,7
1335,1
1336,8
1337,6
1338,3
1339,1
1340,4
1341,7
1342,9
1343,5
1344,3
1345,9
1346,4
1347,4
1348,4
1349,9
1350,3
1351,3
1352,2
1353,3
1354,7
1355,0
1356,5
1357,3
1358,0
1359,6
1360,1
1361,2
1362,3
1363,7
1364,6
1365,6
1366,8
1367,2
1368,8
1369,4
1370,1
1371,4
1372,1
1373,9
1374,0
1375,7
1376,1
1377,4
1378,6
1379,4
1380,3
1381,7
1382,6
1383,0
1384,7
1385,8
1386,3
1387,0
1388,7
1389,0
1390,2
1391,9
1392,1
1393,6
1394,4
1395,0
1396,5
1397,0
1398,8
1399,2
1400,0
1401,5
1402,3
1403,9
1404,0
1405,7
1406,4
1407,8
1408,7
1409,0
1410,7
1411,2
1412,6
1413,5
1414,9
1415,7
1416,8
1417,4
1418,0
1419,1
1420,4
1421,8
1422,5
1423,0
1424,8
1425,5
1426,2
1427,5
1428,3
1429,8
1430,3
1431,4
1432,3
1433,4
1434,6
1435,9
1436,8
1437,2
1438,7
1439,0
1440,6
1441,9
1442,5
1443,9
1444,3
1445,6
1446,4
1447,0
1448,4
1449,7
1450,2
1451,9
1452,8
1453,7
1454,7
1455,9
1456,8
1457,9
1458,0
1459,0
1460,1
1461,7
1462,9
1463,4
1464,4
1465,9
1466,6
1467,9
1468,7
1469,9
1470,8
1471,2
1472,1
1473,9
1474,4
1475,1
1476,4
1477,7
1478,5
1479,5
1480,9
1481,9
1482,3
1483,9
1484,2
1485,7
1486,6
1487,7
1488,1
1489,1
1490,1
1491,8
1492,7
1493,8
1494,8
1495,6
1496,0
1497,8
1498,2
1499,8
1500,4
1501,4
1502,6
1503,4
1504,6
1505,0
1506,7
1507,4
1508,0
1509,6
1510,4
1511,4
1512,5
1513,0
1514,9
1515,1
1516,1
1517,6
1518,6
1519,1
1520,6
1521,4
1522,3
1523,9
1524,1
1525,2
1526,1
1527,8
1528,0
1529,2
1530,0
1531,1
1532,6
1533,7
1534,5
1535,7
1536,4
1537,2
1538,8
1539,4
1540,9
1541,7
1542,3
1543,8
1544,6
1545,2
1546,7
1547,0
1548,6
1549,4
1550,3
1551,4
1552,8
1553,1
1554,6
1555,9
1556,4
1557,3
1558,9
1559,4
1560,6
1561,5
1562,4
1563,4
1564,9
1565,8
1566,9
1567,1
1568,0
1569,7
1570,3
1571,9
1572,7
1573,5
1574,4
1575,7
1576,9
1577,4
1578,3
1579,5
1580,3
1581,0
1582,8
1583,5
1584,7
1585,8
1586,4
1587,4
1588,4
1589,4
1590,8
1591,1
1592,2
1593,2
1594,2
1595,2
1596,2
1597,6
1598,2
1599,3
1600,9
1601,2
1602,2
1603,9
1604,6
1605,2
1606,4
1607,4
1608,9
1609,5
1610,0
1611,0
1612,9
1613,9
1614,5
1615,4
1616,4
1617,3
1618,1
1619,1
1620,9
1621,6
1622,8
1623,1
1624,9
1625,2
1626,8
1627,6
1628,1
1629,4
1630,2
1631,8
1632,6
1633,2
1634,7
1635,5
1636,8
1637,0
1638,3
1639,3
1640,8
1641,4
1642,5
1643,1
1644,1
1645,4
1646,3
1647,0
1648,0
1649,9
1650,5
1651,6
1652,2
1653,8
1654,2
1655,4
1656,2
1657,0
1658,4
1659,7
1660,5
1661,1
1662,0
1663,0
1664,2
1665,7
1666,2
1667,7
1668,9
1669,6
1670,6
1671,6
1672,4
1673,0
1674,1
1675,5
1676,9
1677,6
1678,2
1679,6
1680,6
1681,3
1682,2
1683,1
1684,9
1685,1
1686,9
1687,4
1688,1
1689,0
1690,3
1691,4
1692,0
1693,6
1694,8
1695,0
1696,3
1697,2
1698,8
1699,5
1700,7
1701,6
1702,8
1703,2
1704,6
1705,4
1706,1
1707,1
1708,0
1709,1
1710,8
1711,2
1712,1
1713,7
1714,0
1715,0
1716,0
1717,4
1718,4
1719,5
1720,5
1721,3
1722,6
1723,8
1724,1
1725,4
1726,2
1727,4
1728,9
1729,4
1730,8
1731,2
1732,4
1733,7
1734,2
1735,6
1736,2
1737,7
1738,4
1739,2
1740,3
1741,4
1742,4
1743,8
1744,8
1745,4
1746,2
1747,3
1748,4
1749,7
1750,1
1751,3
